id,n_elems,n_nodes,Nu_bot_avg,Sth_max,Sfl_max
1,1600,1681,6.728441089555758,106.27636738953731,2287.9524500772377
2,6400,6561,6.65037179824844,103.71243294859596,2443.4490770767757
3,14400,14641,6.631668236105467,103.09714709182364,2474.484891942672
4,25600,25921,6.624503722619779,102.86289618344632,2485.624612272397
5,40000,40401,6.621027070241209,102.74977095572412,2490.8536860662402
