id,n_elems,n_nodes,Nu_inner_avg,Sth_max,Sfl_max
1,10254,5306,4.023658239782032,55.299960346902346,1850.1071422828227
2,19976,10240,4.021910052539345,56.151833259126136,1923.1892572653471
3,40012,20363,4.021886018403053,56.274817946914325,1903.2396742081337
4,79434,40221,4.022232979609577,56.10348370332939,1710.5815105361557
5,158098,79761,4.021826035825053,56.118033312598065,1708.2662033990366
